,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
76,79,30344,30344,31776.0,33365.0,147247.0,91607.0,-55640.0,-0.378,933.0,964.0,31.0,3.3,-165.3,2458.2,51.9,-157.2,2311.3,48.8,-123.0179294,1838.0,45.7,-120.3,1798.0,44.7,{A5CAB2EE-8050-45F9-B002-A18AED12C17D},
77,80,30038,30038,37233.0,41692.0,139164.0,101787.0,-37377.0,-0.269,985.0,1022.0,38.0,3.8,-235.0,4486.5,54.2,-219.4,4082.8,49.3,-183.0444511,3411.0,42.6,-153.4,2796.0,34.9,{B10BA4C6-F91E-4254-9B9C-71129E8AD42F},
78,81,30094,30094,31244.0,32416.0,187743.0,138548.0,-49195.0,-0.262,1169.0,1168.0,-1.0,-0.1,-111.9,2158.1,29.6,-108.1,1979.6,27.2,-81.35614508,1477.0,21.8,-75.6,1214.0,17.9,{EFDCD30C-DC57-4F1A-B553-D3E21B8DBED1},
79,82,30354,30354,14857.0,16688.0,,,,,890.0,952.0,62.0,7.0,-46.0,718.8,45.3,-41.5,686.1,43.3,-31.89598381,495.0,36.3,-33.0,572.0,41.9,{5FEB7723-5BBC-4A04-903C-C78A0FAFEE27},
80,83,30337,30337,11505.0,12821.0,,,,,1007.0,1087.0,80.0,7.9,-40.3,528.3,47.9,-38.8,513.7,46.6,-27.5174664,383.0,41.4,-21.3,260.0,28.2,{262BCB40-B422-49ED-9856-D37D80A27BEA},
81,84,30297,30297,27188.0,27518.0,96822.0,42533.0,-54289.0,-0.561,746.0,798.0,52.0,7.0,-57.9,1520.6,56.0,-57.3,1500.6,55.3,-47.2404575,1283.0,52.8,-39.4,1174.0,48.3,{AF8C2F43-AD3A-433D-B429-9FE8C5609ADC},
82,85,30273,30273,14709.0,13843.0,,,,,870.0,888.0,18.0,2.1,-94.8,2132.9,56.1,-86.8,1908.0,50.2,-62.56746885,1364.0,43.3,-50.1,1174.0,37.3,{B741A2F2-6294-4040-8535-F9B23CA5C4E8},
83,86,30291,30291,21010.0,21951.0,143304.0,112477.0,-30827.0,-0.215,1015.0,1022.0,7.0,0.7,-102.0,1848.5,52.6,-92.1,1744.5,49.6,-73.86645737,1397.0,40.9,-62.8,1128.0,33.0,{B7C18807-93E1-42B9-8CC0-6FB31998C1D3},
84,87,30274,30274,31893.0,33709.0,119787.0,53072.0,-66715.0,-0.557,837.0,849.0,13.0,1.5,,,,,,,-99.77588983,2395.0,53.4,-85.3,2051.0,45.7,{CACBBFD7-4AEE-4B3B-B82B-AA385C138077},
85,88,30238,30238,34713.0,37257.0,126933.0,72583.0,-54350.0,-0.428,852.0,875.0,24.0,2.8,-159.2,3746.2,53.5,-148.8,3470.4,49.6,-122.8094434,2871.0,44.4,-99.4,2384.0,36.9,{F9EDC8FD-CA29-4662-876C-71DBF7D69418},
